ID,Col,DayOfWeek,Date,Time,Col,TeamLocal,RedCardLocal,Col,TeamVisit,RedCardVisit,ScoreTeamLocal,ScoreTeamVisit,HalfTimeScore,Col,Col,Col,Col,Col,Col,Col,Col,Season,Col,Col,Col,Col
1314416,1,Friday, Aug 10 2018,23:00,895,Velez Sarsfield,0,902,Newells Old Boys,0,2,0,2 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314421,1,Saturday, Aug 11 2018,01:00,4735,Tigre,0,906,San Lorenzo,0,2,2,2 : 2,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314420,1,Saturday, Aug 11 2018,17:15,896,Gimnasia LP,0,907,Argentinos Juniors,0,1,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314425,1,Saturday, Aug 11 2018,19:30,892,Union,0,6145,Aldosivi,0,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314417,1,Saturday, Aug 11 2018,21:45,9310,Patronato de Parana,0,891,Colon,0,0,0,0 : 0,0,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314418,1,Sunday, Aug 12 2018,00:00,894,Belgrano,0,4736,San Martin San Juan,0,0,0,0 : 0,0,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314413,1,Sunday, Aug 12 2018,15:00,889,Boca Juniors,0,893,Talleres,0,1,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314424,1,Sunday, Aug 12 2018,17:15,3802,Godoy Cruz,1,901,Estudiantes,0,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314415,1,Sunday, Aug 12 2018,19:30,899,Lanus,0,6147,Defensa y Justicia,0,2,2,2 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314422,1,Sunday, Aug 12 2018,21:45,903,Rosario Central,0,1303,Banfield,0,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
